revenue_rnk,rating_rank,product_id,recent_month_sale,cumulative_sale,total_sales,price,rating,ratings_total,rating_weighted_score,revenue,rating_range_id,price_range_id,availability_id,condition_id,is_new,is_fba,is_free_shipping,is_prime,cumulative_sale_percentage,top_selling_categories
150,670,887,50,107600,107600,989.98,3.8,22.0,11.914878020530768,49499.0,3,5,1,1.0,1,0,1,0,1.0,Trivial Many
151,536,460,50,107600,107600,979.95,4.4,61.0,18.159391294198404,48997.5,2,5,1,1.0,1,1,1,1,1.0,Trivial Many
152,74,87,100,101400,107600,489.95,4.4,2502.0,34.43107928229981,48995.0,2,4,1,3.0,1,0,1,0,0.942379,Trivial Many
153,364,474,100,101400,107600,479.99,4.1,458.0,25.129105861248235,47999.0,2,4,1,1.0,1,0,1,0,0.942379,Trivial Many
154,63,40,200,94300,107600,239.38,4.3,3357.0,34.91213360184119,47876.0,2,3,1,4.0,1,0,1,0,0.876394,Trivial Many
155,13,392,200,94300,107600,237.71,4.4,20723.0,43.73181000291259,47542.0,2,3,1,1.0,1,1,1,1,0.876394,Trivial Many
156,12,390,200,94300,107600,237.71,4.4,20723.0,43.73181000291259,47542.0,2,3,1,1.0,1,1,1,1,0.876394,Trivial Many
157,631,551,100,101400,107600,474.99,3.9,39.0,14.38662987104435,47499.0,3,4,1,1.0,1,1,1,1,0.942379,Trivial Many
158,534,734,100,101400,107600,474.99,4.0,93.0,18.173179129080015,47499.0,2,4,1,1.0,1,1,1,1,0.942379,Trivial Many
159,231,172,50,107600,107600,949.0,4.2,964.0,28.86293802562374,47450.0,2,5,1,1.0,1,0,1,0,1.0,Trivial Many
160,387,363,100,101400,107600,469.9,4.1,385.0,24.418933214805804,46990.0,2,4,1,3.0,1,0,1,0,0.942379,Trivial Many
161,4,8,300,87900,107600,154.44,4.4,25468.0,44.638956143434484,46332.0,2,2,1,4.0,1,0,1,0,0.816914,Trivial Many
162,106,387,100,101400,107600,459.96,4.2,2839.0,33.39654919085206,45996.0,2,4,1,3.0,1,0,1,0,0.942379,Trivial Many
163,541,112,50,107600,107600,899.99,4.1,81.0,18.067548913783437,44999.5,2,5,1,3.0,1,0,1,0,1.0,Trivial Many
164,672,919,50,107600,107600,899.99,4.6,11.0,11.4305705890248,44999.5,1,5,1,1.0,1,1,1,1,1.0,Trivial Many
165,596,535,50,107600,107600,899.0,4.3,32.0,15.034982514305865,44950.0,2,5,1,1.0,1,0,1,0,1.0,Trivial Many
166,236,174,50,107600,107600,889.0,4.2,964.0,28.86293802562374,44450.0,2,5,1,1.0,1,0,1,0,1.0,Trivial Many
167,93,395,200,94300,107600,219.99,4.1,3698.0,33.684852946513054,43998.0,2,3,1,1.0,1,0,1,0,0.876394,Trivial Many
168,526,357,100,101400,107600,424.09,3.5,216.0,18.82964073739161,42409.0,3,4,1,3.0,1,1,1,0,0.942379,Trivial Many
169,546,151,100,101400,107600,418.99,4.3,61.0,17.746677855693893,41899.0,2,4,1,3.0,0,1,1,1,0.942379,Trivial Many
