product_id,sale,revenue,price,date,month,year,monthly_sale_share_pct,monthly_revenue_share_pct,yearly_sale_share_pct,yearly_revenue_share_pct
81,600,203400.0,339.0,2025-05-16,5,2025,0.001947,0.001968906952,0.000122,0.000120998387
89,600,227700.0,379.5,2025-11-20,11,2025,0.001432,0.001202757945,0.000122,0.000135453946
99,1000,78000.0,78.0,2025-08-27,8,2025,0.003268,0.000686779624,0.000203,4.6400561e-05
376,500,459500.0,919.0,2024-12-31,12,2024,0.000957,0.00289497874,0.000957,0.00289497874
376,1500,1318500.0,879.0,2025-04-18,4,2025,0.004114,0.014409206154,0.000304,0.000784347949
172,50,42000.0,840.0,2025-04-13,4,2025,0.000137,0.000458996328,1e-05,2.4984918e-05
123,300,49200.0,164.0,2025-12-08,12,2025,0.000392,0.000171226709,6.1e-05,2.9268046e-05
417,100,20200.0,202.0,2025-06-03,6,2025,0.00042,0.000275244296,2e-05,1.2016556e-05
471,50,31150.0,623.0,2025-07-09,7,2025,9.7e-05,0.000169511402,1e-05,1.8530481e-05
351,300,119700.0,399.0,2025-08-10,8,2025,0.00098,0.001053942577,6.1e-05,7.1207015e-05
611,100,59350.0,593.5,2025-07-24,7,2025,0.000193,0.000322969557,2e-05,3.5306068e-05
613,1000,453000.0,453.0,2025-09-17,9,2025,0.004443,0.006209021997,0.000203,0.000269480183
597,200,80000.0,400.0,2025-06-13,6,2025,0.000841,0.001090076421,4.1e-05,4.7590319e-05
597,500,320000.0,640.0,2025-11-08,11,2025,0.001194,0.001690305412,0.000101,0.000190361277
29,500,134500.0,269.0,2025-05-16,5,2025,0.001622,0.001301956662,0.000101,8.0011224e-05
29,1000,262500.0,262.5,2025-10-05,10,2025,0.00229,0.001668969845,0.000203,0.000156155735
29,200,56000.0,280.0,2025-10-06,10,2025,0.000458,0.0003560469,4.1e-05,3.3313223e-05
29,700,174300.0,249.0,2025-11-22,11,2025,0.001671,0.000920688229,0.000142,0.000103687408
