product_id,recent_month_sale,price,recent_month_revenue,availability_id,is_fba,is_prime,is_free_shipping,is_new,condition_id,price_range_id
938,0,1369.99,0.0,1,0,0,1,1,1.0,6.0
939,0,1569.99,0.0,1,0,0,1,1,1.0,6.0
940,0,999.99,0.0,1,0,0,1,1,1.0,5.0
941,0,0.0,0.0,2,0,1,0,1,,
942,0,0.0,0.0,2,0,1,0,1,,
943,100,619.99,61999.0,1,0,0,1,1,1.0,5.0
944,0,0.0,0.0,2,0,1,0,1,,
945,0,0.0,0.0,2,0,1,0,1,,
946,0,1348.99,0.0,1,0,0,1,1,1.0,6.0
947,0,1609.99,0.0,1,0,0,1,1,1.0,6.0
948,0,1699.99,0.0,1,0,0,1,1,1.0,6.0
949,0,1299.99,0.0,1,0,0,1,1,1.0,6.0
950,0,1099.99,0.0,1,0,0,1,1,1.0,6.0
951,0,1399.99,0.0,1,0,0,1,1,1.0,6.0
952,0,1199.99,0.0,1,0,0,1,1,1.0,6.0
953,0,0.0,0.0,3,0,1,0,1,,
954,0,1248.99,0.0,1,0,0,1,1,1.0,6.0
955,0,2189.99,0.0,1,0,0,1,1,1.0,6.0
956,0,1499.99,0.0,1,0,0,1,1,1.0,6.0
957,0,288.89,0.0,1,0,0,1,1,3.0,3.0
958,0,1929.0,0.0,1,0,0,1,1,1.0,6.0
959,0,1729.0,0.0,1,0,0,1,1,1.0,6.0
361,0,379.35,0.0,1,0,0,1,1,3.0,4.0
362,0,304.05,0.0,1,0,0,1,1,3.0,4.0
363,100,469.9,46990.0,1,0,0,1,1,3.0,4.0
364,0,421.11,0.0,1,0,0,1,1,3.0,4.0
365,0,354.35,0.0,1,0,0,1,1,3.0,4.0
366,0,443.33,0.0,1,0,0,1,1,3.0,4.0
367,0,257.99,0.0,1,1,1,1,1,1.0,3.0
368,0,239.0,0.0,1,0,0,1,1,1.0,3.0
369,50,215.25,10762.5,1,0,0,0,1,1.0,3.0
370,100,299.0,29900.0,1,1,1,1,1,1.0,3.0
